label,message
spam,"WIN a free gift card now, click http://bit.ly/free-reward"
ham,"Meeting moved to 3 PM in Room 2."
spam,"Your bank account is locked, verify immediately at www.bank-fix.example"
ham,"Please send me the updated notes after class."
spam,"Urgent parcel issue, pay customs fee today to avoid return."
ham,"Dinner at 8? Let me know."
spam,"Act now to claim your cash prize before it expires."
ham,"The building access card is ready for pickup."
spam,"Confirm your mobile login code to stop service suspension."
ham,"Project standup starts in ten minutes."
spam,"Secret offer: respond now for a limited reward card."
ham,"Can you review the document tonight?"
